icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
010204,2024-12-19 10:20:35,EGLL,2024-12-19 14:28:33,HE42,MSR784  ,823,188,13808,3556,120,0
04018b,2024-12-19 14:15:54,,2024-12-19 14:29:57,DBBC,SKK262  ,0,0,110717,2477,0,4
0a0019,2024-12-19 12:55:43,LFPO,2024-12-19 14:33:35,,DAH1113 ,2888,33,0,0,87,0
0aca8e,2024-12-19 14:16:19,,2024-12-19 14:42:39,,AVA128  ,0,0,0,0,0,0
0b404a,2024-12-19 14:43:20,MGGT,2024-12-19 14:52:30,MGGT,TGRWC   ,258,53,44522,2216,35,6
0b4066,2024-12-19 14:32:30,MGGT,2024-12-19 14:39:50,MGGT,TGPIP   ,304,38,32673,1279,35,16
0b4156,2024-12-19 14:54:16,MGGT,2024-12-19 15:04:05,MGGT,TGACG   ,29021,639,1654,7969,22,0
0b4269,2024-12-19 15:49:19,MGGT,2024-12-19 16:11:08,MGSJ,TGEAA   ,608,14,14670,31141,35,1
0d06c1,2024-12-19 14:31:30,MMMX,2024-12-19 14:45:51,,SLI300  ,748,81,0,0,15,0
0d0979,2024-12-19 13:57:11,,2024-12-19 14:51:36,,LET7209 ,0,0,0,0,0,0
0d0a92,2024-12-19 14:50:41,MMMX,2024-12-19 15:14:25,,SLI1046 ,700,96,0,0,15,0
0d0db8,2024-12-19 13:36:29,MMMX,2024-12-19 14:28:26,,AMX904  ,549,126,0,0,15,0
152c29,2024-12-19 12:07:16,,2024-12-19 15:10:47,,SUM9122 ,0,0,0,0,0,0
155bf3,2024-12-19 15:29:12,,2024-12-19 15:40:23,UWUK,IAE297  ,0,0,24652,9341,0,0
3451d8,2024-12-19 14:42:10,LEBL,2024-12-19 15:04:33,LECN,ANE2372 ,3295,461,13686,4238,20,0
3453cc,2024-12-19 14:19:21,LEMD,2024-12-19 14:48:48,LEVT,AEA7153 ,2908,183,10357,2588,30,6
346611,2024-12-19 14:28:57,,2024-12-19 15:05:51,,VOE3536 ,0,0,0,0,0,0
398038,2024-12-19 13:58:56,LFQQ,2024-12-19 14:36:41,LFAK,RPOL35  ,4601,439,20361,11583,83,3
39856e,2024-12-19 13:06:21,LFPG,2024-12-19 14:46:33,LIAU,AFR25VW ,1567,299,21019,3028,91,1
3991e8,2024-12-19 11:50:27,LFPG,2024-12-19 14:30:42,GMMN,AFR1276 ,2090,231,22696,9858,91,0
39d300,2024-12-19 12:50:44,LFPO,2024-12-19 14:29:13,LIAU,TVF73EP ,2253,40,22373,3500,87,0
3b7566,2024-12-19 11:25:04,LFMI,2024-12-19 14:36:49,LFCE,RMUS36  ,2718,272,7668,5575,56,0
3c648a,2024-12-19 15:05:37,EDDF,2024-12-19 15:41:13,EDDM,DLH9AA  ,4417,254,2863,11129,150,3
3d602e,2024-12-19 14:19:08,EDDG,2024-12-19 15:47:34,LOIR,DFIRE   ,455,271,26393,1842,124,85
40038e,2024-12-19 14:41:38,MBPV,2024-12-19 15:11:57,MDSA,VQTGG   ,939,4,175572,2466,11,1
40039c,2024-12-19 14:49:06,MBPV,2024-12-19 15:19:49,MDSA,CXE505  ,591,42,172330,2382,11,1
4010dd,2024-12-19 10:54:18,EGKK,2024-12-19 14:44:47,GCXO,EFW06B  ,2162,448,60976,2415,112,0
4050dc,2024-12-19 15:17:46,EGLK,2024-12-19 15:21:29,EGLK,GCEGU   ,9748,510,9392,601,118,115
405637,2024-12-19 13:02:08,EGGW,2024-12-19 14:44:26,LEBL,EZY96CG ,1388,274,1861,11487,126,1
42483e,2024-12-19 15:18:45,,2024-12-19 15:48:25,LMML,GKY193  ,0,0,2751,76,0,5
4401e4,2024-12-19 13:36:11,LIMC,2024-12-19 14:30:23,,EJU131R ,632,9,0,0,69,0
4401f7,2024-12-19 14:02:20,LSGG,2024-12-19 15:04:45,LIAU,EJU82DU ,967,232,19502,2700,102,3
44058f,2024-12-19 13:59:58,LIPB,2024-12-19 15:17:50,,GAC311B ,7379,1565,0,0,57,0
440ce2,2024-12-19 14:21:20,LIPE,2024-12-19 14:59:44,,AELIA33 ,2076,518,0,0,46,0
45b103,2024-12-19 13:57:37,,2024-12-19 14:29:07,,DTR85M  ,0,0,0,0,0,0
461fa5,2024-12-19 14:28:48,EFHK,2024-12-19 15:09:59,EFRH,FIN4CL  ,1752,273,9284,2714,23,1
46d0c9,2024-12-19 14:45:22,,2024-12-19 15:07:55,,SEH5DQ  ,0,0,0,0,0,0
46d276,2024-12-19 14:29:05,LGAV,2024-12-19 14:52:31,,SEH4EL  ,18070,1818,0,0,18,0
47808a,2024-12-19 14:34:06,ENGM,2024-12-19 15:25:05,,WIF2M   ,1955,523,0,0,23,0
484acc,2024-12-19 13:39:36,EHAM,2024-12-19 14:59:09,ENSD,KLM43B  ,4601,94,20898,5098,61,0
4855d1,2024-12-19 13:06:33,EPGD,2024-12-19 14:41:53,EHAM,KLM44E  ,659,384,1978,2700,14,3
4864ed,2024-12-19 12:52:00,LIPE,2024-12-19 14:25:36,EHAM,KLM20B  ,720,244,1911,5223,46,1
486800,2024-12-19 13:03:13,EHAM,2024-12-19 15:00:15,LECN,KLM85G  ,1611,155,19254,4626,62,2
486804,2024-12-19 13:40:06,EHAM,2024-12-19 15:13:19,LESO,KLM45R  ,1709,186,28975,3172,62,4
48ac81,2024-12-19 14:23:18,EPKK,2024-12-19 14:52:16,EPWA,LOT6YM  ,596,94,1105,9666,42,1
48adaf,2024-12-19 12:57:14,LBSF,2024-12-19 14:29:08,EPWA,LOT6JF  ,988,162,1131,10557,34,1
493299,2024-12-19 12:26:32,EDDF,2024-12-19 14:58:26,LEBE,NJE979Q ,4519,323,23426,4501,149,0
49d509,2024-12-19 14:50:33,LKNY,2024-12-19 15:07:53,LKHD,OKAVM   ,14163,226,9221,89,106,99
49d526,2024-12-19 13:27:35,LTBA,2024-12-19 15:26:41,,BOH112  ,1092,49,0,0,13,0
4acaaf,2024-12-19 14:34:13,ENGM,2024-12-19 15:15:15,ENVA,SAS362  ,1033,318,782,310,21,8
4b0291,2024-12-19 14:55:41,LFBD,2024-12-19 16:11:57,LSZH,SWR3YM  ,891,118,777,63,56,129
4b17df,2024-12-19 14:46:04,LSGG,2024-12-19 15:21:17,LSZH,SWR2HY  ,343,309,941,78,102,129
4b17fe,2024-12-19 14:14:01,LKPR,2024-12-19 15:17:45,LSZH,SWR2DH  ,1020,92,1023,86,113,129
4b18fc,2024-12-18 16:12:45,,2024-12-19 14:43:21,,SWR189  ,0,0,0,0,0,0
4b2810,2024-12-19 15:28:56,LSZH,2024-12-19 15:53:29,EDNY,HBPEM   ,752,117,515,93,129,128
4ba8cc,2024-12-19 14:36:12,,2024-12-19 14:56:55,LTAI,TKJ8QX  ,0,0,19686,2483,0,7
4baa0d,2024-12-19 13:58:04,LTFM,2024-12-19 14:32:06,LTBM,THY6SU  ,2056,457,26585,3870,14,0
4bb025,2024-12-19 13:34:25,LTFJ,2024-12-19 15:00:09,LQVI,TKJ6653 ,2248,362,14104,2157,15,14
4bb065,2024-12-19 11:11:02,LTFM,2024-12-19 14:53:42,LEPP,THY1BC  ,2700,381,18020,3267,14,0
4bb843,2024-12-19 14:32:10,,2024-12-19 15:08:17,LTFB,PGT1GZ  ,0,0,21778,11266,0,2
4bb86b,2024-12-19 13:37:26,LTFJ,2024-12-19 14:40:02,LATI,PGT9XN  ,2603,362,28556,4251,15,0
4c4849,2024-12-19 14:06:42,LRBS,2024-12-19 15:14:02,LQSA,PNC5C   ,8958,983,16496,4310,22,0
4ca2c0,2024-12-19 13:37:21,EGSS,2024-12-19 14:37:03,EIDW,RYR8BW  ,1668,313,1719,11775,109,4
4ca6d9,2024-12-19 13:18:48,EKCH,2024-12-19 14:28:28,EDDL,SAS1621 ,3677,825,848,92,48,123
4ca814,2024-12-19 14:06:40,EGSS,2024-12-19 15:05:55,LFEL,RYR93WH ,1564,267,25248,3055,109,1
