icao24,approxDepartureTime,DepartureAirport,approxArrivalTime,ArrivalAirport,flightnumber
0b404a,12/19/2024 14:43,MGGT,12/19/2024 14:52,MGGT,TGRWC   
0b4156,12/19/2024 14:54,MGGT,12/19/2024 15:04,MGGT,TGACG   
0b4269,12/19/2024 15:49,MGGT,12/19/2024 16:11,MGSJ,TGEAA   
0b4306,12/19/2024 15:26,MGGT,12/19/2024 15:35,MGGT,TGARM   
342396,12/19/2024 14:39,LEPA,12/19/2024 15:55,LELN,VLG300X 
34324e,12/19/2024 15:12,LEMD,12/19/2024 15:43,LEVT,IBE04ER 
3451d8,12/19/2024 14:42,LEBL,12/19/2024 15:04,LECN,ANE2372 
3453cc,12/19/2024 14:19,LEMD,12/19/2024 14:48,LEVT,AEA7153 
3964f0,12/19/2024 13:21,LFPO,12/19/2024 15:25,DA15,TVF54HQ 
39a2e2,12/19/2024 13:39,LFMP,12/19/2024 14:50,DA14,FPO359W 
39ca84,12/19/2024 16:34,LFRS,12/19/2024 16:37,LFRS,SAMU44  
39d30e,12/19/2024 13:24,LFPO,12/19/2024 15:48,GMFI,TVF63NT 
3c648a,12/19/2024 15:05,EDDF,12/19/2024 15:41,EDDM,DLH9AA  
3d602e,12/19/2024 14:19,EDDG,12/19/2024 15:47,LOIR,DFIRE   
40038e,12/19/2024 14:41,MBPV,12/19/2024 15:11,MDSA,VQTGG   
40039c,12/19/2024 14:49,MBPV,12/19/2024 15:19,MDSA,CXE505  
4050dc,12/19/2024 15:17,EGLK,12/19/2024 15:21,EGLK,GCEGU   
4401f7,12/19/2024 14:02,LSGG,12/19/2024 15:04,LIAU,EJU82DU 
440c8d,12/19/2024 14:16,EDDH,12/19/2024 15:29,LOWW,AUA4UP  
461fa5,12/19/2024 14:28,EFHK,12/19/2024 15:09,EFRH,FIN4CL  
471efd,12/19/2024 14:08,LIMC,12/19/2024 15:35,EPKK,WZZ2721 
471f05,12/19/2024 14:35,LOWW,12/19/2024 15:25,LYPO,WMT7609 
471fa7,12/19/2024 12:17,UGKO,12/19/2024 15:37,EPWA,WZZ35QM 
4841a8,12/19/2024 12:23,LGTS,12/19/2024 15:08,EHAM,TRA9K   
484acc,12/19/2024 13:39,EHAM,12/19/2024 14:59,ENSD,KLM43B  
486800,12/19/2024 13:03,EHAM,12/19/2024 15:00,LECN,KLM85G  
486804,12/19/2024 13:40,EHAM,12/19/2024 15:13,LESO,KLM45R  
48ac81,12/19/2024 14:23,EPKK,12/19/2024 14:52,EPWA,LOT6YM  
48ad00,12/19/2024 13:59,EPWA,12/19/2024 15:26,LYPO,LOT599  
48adab,12/19/2024 14:16,EPWA,12/19/2024 15:32,LRIA,LOT5EP  
48c1a0,12/19/2024 14:45,LHBP,12/19/2024 15:34,LYPO,RYR6887 
493299,12/19/2024 12:26,EDDF,12/19/2024 14:58,LEBE,NJE979Q 
49d509,12/19/2024 14:50,LKNY,12/19/2024 15:07,LKHD,OKAVM   
4ac9e9,12/19/2024 13:27,EKCH,12/19/2024 14:59,EFKE,SAS1988 
4acaa3,12/19/2024 13:59,ENGM,12/19/2024 15:18,ENDU,SAS4420 
4acaaf,12/19/2024 14:34,ENGM,12/19/2024 15:15,ENVA,SAS362  
4b0291,12/19/2024 14:55,LFBD,12/19/2024 16:11,LSZH,SWR3YM  
4b17df,12/19/2024 14:46,LSGG,12/19/2024 15:21,LSZH,SWR2HY  
4b17e2,12/19/2024 14:15,EDDL,12/19/2024 15:06,LSZH,SWR3QB  
4b17fe,12/19/2024 14:14,LKPR,12/19/2024 15:17,LSZH,SWR2DH  
4b2810,12/19/2024 15:28,LSZH,12/19/2024 15:53,EDNY,HBPEM   
4bb025,12/19/2024 13:34,LTFJ,12/19/2024 15:00,LQVI,TKJ6653 
4bb065,12/19/2024 11:11,LTFM,12/19/2024 14:53,LEPP,THY1BC  
4c4849,12/19/2024 14:06,LRBS,12/19/2024 15:14,LQSA,PNC5C   
4ca814,12/19/2024 14:06,EGSS,12/19/2024 15:05,LFEL,RYR93WH 
4cacc8,12/19/2024 15:05,ESSA,12/19/2024 15:24,EFKG,SAS2728 
4cae4a,12/19/2024 10:50,LFOB,12/19/2024 14:49,GCXO,RYR652R 
4cc330,12/19/2024 15:04,BIRK,12/19/2024 15:17,BIKA,ICE26Y  
4d2139,12/19/2024 8:02,OMDW,12/19/2024 16:00,VMMC,VJT146  
4d2301,12/19/2024 12:49,LFOB,12/19/2024 15:03,LRSV,RYR252J 
501dc5,12/19/2024 15:07,LDPL,12/19/2024 15:18,LDRO,CTN7T   
738485,12/19/2024 14:58,LLBG,12/19/2024 15:19,OJAI,AIZ821  
750203,12/19/2024 13:30,VTBS,12/19/2024 15:11,WMKK,MAS781  
78927a,12/19/2024 13:57,ZBAA,12/19/2024 16:31,VMMC,AHK769  
7c19d2,12/19/2024 15:07,YTWB,12/19/2024 15:31,YMYB,FD447   
800c65,12/19/2024 15:12,VOBL,12/19/2024 15:49,VOTR,IGO7165 
80152f,12/19/2024 14:47,VOBL,12/19/2024 15:09,VOCB,IGO435  
8015f3,12/19/2024 14:46,VOMM,12/19/2024 15:20,VOSX,IGO62C  
a001de,12/19/2024 14:23,KRIC,12/19/2024 15:01,KBCB,N1VA    
a02ac7,12/19/2024 14:08,KTKI,12/19/2024 14:53,K2F7,N11KM   
a038a1,12/19/2024 16:24,KCOI,12/19/2024 16:46,21FA,N113PD  
a04183,12/19/2024 14:34,KCLT,12/19/2024 14:56,KPSK,VTE3852 
a0dc03,12/19/2024 15:46,1TS9,12/19/2024 15:48,XA65,N1544V  
a12295,12/19/2024 15:39,KUGN,12/19/2024 16:08,KUGN,N172WF  
a12811,12/19/2024 15:09,KGPM,12/19/2024 15:13,KGPM,N174AH  
a1ae99,12/19/2024 14:25,KPVU,12/19/2024 14:52,KU14,CXK408  
a1c7bf,12/19/2024 15:31,KI69,12/19/2024 16:16,KI69,N2135S  
a1ea0a,12/19/2024 14:44,KLLN,12/19/2024 15:30,TS80,N222SL  
a1ec59,12/19/2024 14:18,KDEN,12/19/2024 14:49,KLXV,BMJ1810 
a2014d,12/19/2024 16:21,KSDL,12/19/2024 16:45,KSDL,CXK164  
a223ba,12/19/2024 14:35,KDFW,12/19/2024 15:15,K55K,ENY3383 
a24782,12/19/2024 14:18,KDFW,12/19/2024 15:00,5TA4,ENY3920 
a26b4a,12/19/2024 14:53,KMIA,12/19/2024 15:39,6FL4,ENY3858 
a28ee7,12/19/2024 14:21,KDAL,12/19/2024 14:50,41AR,SWA3134 
a2a26d,12/19/2024 13:46,KDAL,12/19/2024 14:52,65TX,SWA269  
a3092b,12/19/2024 14:52,KPHH,12/19/2024 15:43,FL52,N295ML  
a31fdb,12/19/2024 15:25,1AZ8,12/19/2024 15:59,KPHX,N300FM  
a3323d,12/19/2024 12:39,KLGA,12/19/2024 15:03,KPBI,DAL2465 
a347e5,12/19/2024 15:52,1IL4,12/19/2024 16:04,1IS0,N310MA  
a35854,12/19/2024 13:57,KJFK,12/19/2024 15:10,KRDU,JBU285  
a37616,12/19/2024 13:03,KDTW,12/19/2024 15:13,KMCO,DAL2858 
a37842,12/19/2024 14:40,KJFK,12/19/2024 15:34,KROC,JBU1386 
a4345e,12/19/2024 14:25,MMTO,12/19/2024 15:40,XS94,LXJ370  
a43ce3,12/19/2024 14:48,KJYO,12/19/2024 15:10,KJYO,N372TA  
a45f59,12/19/2024 12:25,KLGA,12/19/2024 14:50,FD20,DAL379  
a46670,12/19/2024 15:32,SOML,12/19/2024 15:45,SPQR,N383AA  
a4733e,12/19/2024 15:18,KBHM,12/19/2024 16:15,LA16,N386TA  
a4955d,12/19/2024 14:24,KPHX,12/19/2024 14:54,KP14,WSN1    
a4c4aa,12/19/2024 14:57,KJAX,12/19/2024 15:42,FD20,MAD406  
a4fda0,12/19/2024 11:29,KBNA,12/19/2024 15:21,KLAS,SWA1872 
a504cc,12/19/2024 15:31,KSJT,12/19/2024 15:34,KSJT,N422TX  
a51d46,12/19/2024 15:40,6TA3,12/19/2024 15:50,KDAL,N429CF  
a648d2,12/19/2024 15:56,KADS,12/19/2024 16:14,KHQZ,N504AF  
a65826,12/19/2024 14:24,KDEN,12/19/2024 14:53,KLXV,LYM515  
a65dca,12/19/2024 16:28,K0L7,12/19/2024 16:43,K0L7,N5090U  
a6b0d2,12/19/2024 13:57,KDCA,12/19/2024 14:50,KFDW,JIA5026 
a6eac3,12/19/2024 13:58,KTPA,12/19/2024 15:07,KFTY,N545CT  
a6ec3e,12/19/2024 15:55,KEDC,12/19/2024 16:19,KEDC,N545TX  
a6f2b7,12/19/2024 12:34,KHPN,12/19/2024 15:02,KLNA,JBU913  
a75b65,12/19/2024 14:04,KCLT,12/19/2024 15:18,FD20,AAL1935 
a77e8f,12/19/2024 14:40,KDFW,12/19/2024 15:03,KASL,JIA5205 
a7880f,12/19/2024 15:03,KPVU,12/19/2024 15:18,K36U,N58468  
a7e492,12/19/2024 13:23,KADS,12/19/2024 14:59,KADS,TRF577  
a7fb19,12/19/2024 14:17,KFLL,12/19/2024 15:20,KGGE,NKS3647 
a808d5,12/19/2024 15:33,TS73,12/19/2024 16:15,KF35,LNG12   
a81624,12/19/2024 15:00,KEWR,12/19/2024 15:11,KEWR,N62ZA   
